Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 03:50:27.693340: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Term Loss -0.173221, Default Loss -79.143440, Reward 0.900000
Epoch 01 Step 001 Term Loss -0.173250, Default Loss -79.143402, Reward 0.900000
Epoch 01 Step 002 Term Loss -0.172742, Default Loss -79.143356, Reward -13.000000
Epoch 01 Step 003 Term Loss -0.172775, Default Loss -79.143318, Reward -13.000000
Epoch 01 Step 004 Term Loss -0.173216, Default Loss -79.143280, Reward 0.900000
Epoch 01 Step 005 Term Loss -0.173241, Default Loss -79.143219, Reward 0.900000
Epoch 01 Step 006 Term Loss -0.172750, Default Loss -79.143188, Reward -13.000000
Epoch 01 Step 007 Term Loss -0.172782, Default Loss -79.143135, Reward -13.000000
Epoch 01 Step 008 Term Loss -0.173204, Default Loss -79.143089, Reward 0.900000
Epoch 01 Step 009 Term Loss -0.173231, Default Loss -79.143044, Reward 0.900000
Epoch 01 Step 010 Term Loss -0.172758, Default Loss -79.143021, Reward -13.000000
Epoch 01 Step 011 Term Loss -0.172793, Default Loss -79.142975, Reward -13.000000
Epoch 01 Step 012 Term Loss -0.173197, Default Loss -79.142921, Reward 0.900000
Epoch 01 Step 013 Term Loss -0.173228, Default Loss -79.142891, Reward 0.900000
Epoch 01 Step 014 Term Loss -0.172770, Default Loss -79.142853, Reward -13.000000
Epoch 01 Step 015 Term Loss -0.172803, Default Loss -79.142815, Reward -13.000000
Epoch 01 Step 016 Term Loss -0.173187, Default Loss -79.142769, Reward 0.900000
Epoch 01 Step 017 Term Loss -0.173214, Default Loss -79.142715, Reward 0.900000
Epoch 01 Step 018 Term Loss -0.172779, Default Loss -79.142685, Reward -13.000000
Epoch 01 Step 019 Term Loss -0.172814, Default Loss -79.142647, Reward -13.000000
Epoch 01 Step 020 Term Loss -0.173175, Default Loss -79.142593, Reward 0.900000
Epoch 01 Step 021 Term Loss -0.173203, Default Loss -79.142570, Reward 0.900000
Epoch 01 Step 022 Term Loss -0.172794, Default Loss -79.142532, Reward -13.000000
Epoch 01 Step 023 Term Loss -0.172824, Default Loss -79.142494, Reward -13.000000
Epoch 01 Step 024 Term Loss -0.173165, Default Loss -79.142448, Reward 0.900000
Epoch 01 Step 025 Term Loss -0.173190, Default Loss -79.142410, Reward 0.900000
Epoch 01 Step 026 Term Loss -0.172807, Default Loss -79.142372, Reward -13.000000
Epoch 01 Step 027 Term Loss -0.172840, Default Loss -79.142334, Reward -13.000000
Epoch 01 Step 028 Term Loss -0.173151, Default Loss -79.142288, Reward 0.900000
Epoch 01 Step 029 Term Loss -0.173177, Default Loss -79.142250, Reward 0.900000
Epoch 01 Step 030 Term Loss -0.172820, Default Loss -79.142220, Reward -13.000000
Epoch 01 Step 031 Term Loss -0.172854, Default Loss -79.142174, Reward -13.000000
Epoch 01 Step 032 Term Loss -0.173140, Default Loss -79.142143, Reward 0.900000
Epoch 01 Step 033 Term Loss -0.173165, Default Loss -79.142105, Reward 0.900000
Epoch 01 Step 034 Term Loss -0.172832, Default Loss -79.142067, Reward -13.000000
Epoch 01 Step 035 Term Loss -0.172867, Default Loss -79.142021, Reward -13.000000
Epoch 01 Step 036 Term Loss -0.173123, Default Loss -79.141983, Reward 0.900000
Epoch 01 Step 037 Term Loss -0.173149, Default Loss -79.141953, Reward 0.900000
Epoch 01 Step 038 Term Loss -0.172848, Default Loss -79.141914, Reward -13.000000
Epoch 01 Step 039 Term Loss -0.172884, Default Loss -79.141876, Reward -13.000000
Epoch 01 Step 040 Term Loss -0.173107, Default Loss -79.141838, Reward 0.900000
Epoch 01 Step 041 Term Loss -0.173133, Default Loss -79.141808, Reward 0.900000
Epoch 01 Step 042 Term Loss -0.172865, Default Loss -79.141777, Reward -13.000000
Epoch 01 Step 043 Term Loss -0.172899, Default Loss -79.141747, Reward -13.000000
Epoch 01 Step 044 Term Loss -0.173092, Default Loss -79.141701, Reward 0.900000
Epoch 01 Step 045 Term Loss -0.173119, Default Loss -79.141670, Reward 0.900000
Epoch 01 Step 046 Term Loss -0.172884, Default Loss -79.141632, Reward -13.000000
Epoch 01 Step 047 Term Loss -0.172918, Default Loss -79.141594, Reward -13.000000
Epoch 01 Step 048 Term Loss -0.173076, Default Loss -79.141556, Reward 0.900000
Epoch 01 Step 049 Term Loss -0.173103, Default Loss -79.141525, Reward 0.900000
Epoch 01 Step 050 Term Loss -0.172901, Default Loss -79.141495, Reward -13.000000
Epoch 01 Step 051 Term Loss -0.172934, Default Loss -79.141464, Reward -13.000000
Epoch 01 Step 052 Term Loss -0.173055, Default Loss -79.141418, Reward 0.900000
Epoch 01 Step 053 Term Loss -0.173084, Default Loss -79.141380, Reward 0.900000
Epoch 01 Step 054 Term Loss -0.172921, Default Loss -79.141357, Reward -13.000000
Epoch 01 Step 055 Term Loss -0.172958, Default Loss -79.141319, Reward -13.000000
Epoch 01 Step 056 Term Loss -0.173034, Default Loss -79.141289, Reward 0.900000
Epoch 01 Step 057 Term Loss -0.173059, Default Loss -79.141251, Reward 0.900000
