Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /Users/Jerry/npi/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 15:08:56.364695: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Default Step Loss 0.571956, Argument Step Loss 6.381462, Term: 0.972222, Prog: 0.583333, A0: 0.237288, A1: 0.677966, A2: 0.9830508474576272
Epoch 01 Step 001 Default Step Loss 0.446906, Argument Step Loss 4.555579, Term: 0.985294, Prog: 0.647059, A0: 0.232143, A1: 0.785714, A2: 1.0
Epoch 01 Step 002 Default Step Loss 0.324747, Argument Step Loss 2.518386, Term: 0.986111, Prog: 0.638889, A0: 0.338983, A1: 0.728814, A2: 1.0
Epoch 01 Step 003 Default Step Loss 0.328034, Argument Step Loss 2.445692, Term: 0.986842, Prog: 0.631579, A0: 0.322581, A1: 0.709677, A2: 1.0
Epoch 01 Step 004 Default Step Loss 0.306359, Argument Step Loss 2.435604, Term: 0.985294, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 005 Default Step Loss 0.314263, Argument Step Loss 2.351962, Term: 0.986842, Prog: 0.631579, A0: 0.322581, A1: 0.709677, A2: 1.0
Epoch 01 Step 006 Default Step Loss 0.324179, Argument Step Loss 2.247536, Term: 0.988636, Prog: 0.613636, A0: 0.295775, A1: 0.690141, A2: 1.0
Epoch 01 Step 007 Default Step Loss 0.284775, Argument Step Loss 2.261909, Term: 0.986111, Prog: 0.638889, A0: 0.288136, A1: 0.728814, A2: 1.0
Epoch 01 Step 008 Default Step Loss 0.278137, Argument Step Loss 2.168126, Term: 0.986111, Prog: 0.638889, A0: 0.338983, A1: 0.745763, A2: 1.0
Epoch 01 Step 009 Default Step Loss 0.309184, Argument Step Loss 2.167862, Term: 0.988636, Prog: 0.613636, A0: 0.352113, A1: 0.661972, A2: 1.0
Epoch 01 Step 010 Default Step Loss 0.267838, Argument Step Loss 2.133307, Term: 0.986111, Prog: 0.638889, A0: 0.338983, A1: 0.728814, A2: 1.0
