Initializing Addition Core!
Initializing NPI Model!
WARNING:tensorflow:From /home/jcjerbear/npi-1000-5-10/model/npi.py:174: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2018-12-13 20:10:05.530966: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
Epoch 01 Step 000 Default Step Loss 0.560330, Argument Step Loss 6.430192, Term: 0.970588, Prog: 0.147059, A0: 0.321429, A1: 0.607143, A2: 0.9642857142857143
Epoch 01 Step 001 Default Step Loss 0.527499, Argument Step Loss 6.484472, Term: 0.966667, Prog: 0.366667, A0: 0.400000, A1: 0.840000, A2: 1.0
Epoch 01 Step 002 Default Step Loss 0.544766, Argument Step Loss 6.220959, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 003 Default Step Loss 0.430519, Argument Step Loss 3.862453, Term: 0.976190, Prog: 0.619048, A0: 0.294118, A1: 0.705882, A2: 1.0
Epoch 01 Step 004 Default Step Loss 0.318529, Argument Step Loss 2.573233, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 005 Default Step Loss 0.317954, Argument Step Loss 2.504814, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 006 Default Step Loss 0.332352, Argument Step Loss 2.538357, Term: 0.973684, Prog: 0.631579, A0: 0.322581, A1: 0.709677, A2: 1.0
Epoch 01 Step 007 Default Step Loss 0.330915, Argument Step Loss 2.371963, Term: 0.973684, Prog: 0.631579, A0: 0.322581, A1: 0.741935, A2: 1.0
Epoch 01 Step 008 Default Step Loss 0.312926, Argument Step Loss 2.417586, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 009 Default Step Loss 0.325484, Argument Step Loss 2.315326, Term: 0.973684, Prog: 0.631579, A0: 0.322581, A1: 0.741935, A2: 1.0
Epoch 01 Step 010 Default Step Loss 0.336284, Argument Step Loss 2.226888, Term: 0.976190, Prog: 0.619048, A0: 0.294118, A1: 0.735294, A2: 1.0
Epoch 01 Step 011 Default Step Loss 0.344030, Argument Step Loss 2.268254, Term: 0.978261, Prog: 0.608696, A0: 0.297297, A1: 0.675676, A2: 1.0
Epoch 01 Step 012 Default Step Loss 0.313063, Argument Step Loss 2.291721, Term: 0.973684, Prog: 0.631579, A0: 0.290323, A1: 0.709677, A2: 1.0
Epoch 01 Step 013 Default Step Loss 0.325945, Argument Step Loss 2.267874, Term: 0.976190, Prog: 0.619048, A0: 0.235294, A1: 0.676471, A2: 1.0
Epoch 01 Step 014 Default Step Loss 0.307369, Argument Step Loss 2.205806, Term: 0.973684, Prog: 0.631579, A0: 0.290323, A1: 0.741935, A2: 1.0
Epoch 01 Step 015 Default Step Loss 0.336461, Argument Step Loss 2.233606, Term: 0.978261, Prog: 0.608696, A0: 0.351351, A1: 0.648649, A2: 1.0
Epoch 01 Step 016 Default Step Loss 0.335477, Argument Step Loss 2.172701, Term: 0.978261, Prog: 0.608696, A0: 0.351351, A1: 0.675676, A2: 1.0
Epoch 01 Step 017 Default Step Loss 0.319173, Argument Step Loss 2.236023, Term: 0.976190, Prog: 0.619048, A0: 0.323529, A1: 0.676471, A2: 1.0
Epoch 01 Step 018 Default Step Loss 0.318305, Argument Step Loss 2.215595, Term: 0.976190, Prog: 0.619048, A0: 0.323529, A1: 0.676471, A2: 1.0
Epoch 01 Step 019 Default Step Loss 0.275348, Argument Step Loss 2.193281, Term: 0.970588, Prog: 0.647059, A0: 0.250000, A1: 0.750000, A2: 1.0
Epoch 01 Step 020 Default Step Loss 0.243712, Argument Step Loss 2.083937, Term: 0.966667, Prog: 0.666667, A0: 0.320000, A1: 0.800000, A2: 1.0
Epoch 01 Step 021 Default Step Loss 0.241177, Argument Step Loss 2.048803, Term: 0.966667, Prog: 0.666667, A0: 0.400000, A1: 0.800000, A2: 1.0
Epoch 01 Step 022 Default Step Loss 0.305500, Argument Step Loss 2.082812, Term: 0.973684, Prog: 0.631579, A0: 0.322581, A1: 0.741935, A2: 1.0
Epoch 01 Step 023 Default Step Loss 0.274289, Argument Step Loss 2.025407, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 024 Default Step Loss 0.304130, Argument Step Loss 2.116101, Term: 0.973684, Prog: 0.631579, A0: 0.322581, A1: 0.709677, A2: 1.0
Epoch 01 Step 025 Default Step Loss 0.304902, Argument Step Loss 2.073964, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.709677, A2: 1.0
Epoch 01 Step 026 Default Step Loss 0.299424, Argument Step Loss 2.044251, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.741935, A2: 1.0
Epoch 01 Step 027 Default Step Loss 0.297475, Argument Step Loss 2.022824, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.709677, A2: 1.0
Epoch 01 Step 028 Default Step Loss 0.338912, Argument Step Loss 2.139432, Term: 0.972222, Prog: 0.611111, A0: 0.413793, A1: 0.655172, A2: 1.0
Epoch 01 Step 029 Default Step Loss 0.295800, Argument Step Loss 2.051286, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.741935, A2: 1.0
Epoch 01 Step 030 Default Step Loss 0.294477, Argument Step Loss 2.041291, Term: 0.973684, Prog: 0.631579, A0: 0.451613, A1: 0.709677, A2: 1.0
Epoch 01 Step 031 Default Step Loss 0.260493, Argument Step Loss 2.031589, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.750000, A2: 1.0
Epoch 01 Step 032 Default Step Loss 0.295438, Argument Step Loss 2.066795, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.709677, A2: 1.0
Epoch 01 Step 033 Default Step Loss 0.261544, Argument Step Loss 2.013565, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 034 Default Step Loss 0.261040, Argument Step Loss 2.002132, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 035 Default Step Loss 0.254836, Argument Step Loss 1.966716, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 036 Default Step Loss 0.292903, Argument Step Loss 1.999905, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.741935, A2: 1.0
Epoch 01 Step 037 Default Step Loss 0.286489, Argument Step Loss 2.060693, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.709677, A2: 1.0
Epoch 01 Step 038 Default Step Loss 0.254112, Argument Step Loss 1.973845, Term: 0.970588, Prog: 0.647059, A0: 0.357143, A1: 0.750000, A2: 1.0
Epoch 01 Step 039 Default Step Loss 0.210040, Argument Step Loss 1.906833, Term: 0.966667, Prog: 0.666667, A0: 0.440000, A1: 0.800000, A2: 1.0
Epoch 01 Step 040 Default Step Loss 0.256225, Argument Step Loss 1.969828, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.750000, A2: 1.0
Epoch 01 Step 041 Default Step Loss 0.252058, Argument Step Loss 1.970065, Term: 0.970588, Prog: 0.647059, A0: 0.428571, A1: 0.750000, A2: 1.0
Epoch 01 Step 042 Default Step Loss 0.317342, Argument Step Loss 2.033448, Term: 0.976190, Prog: 0.619048, A0: 0.382353, A1: 0.705882, A2: 1.0
Epoch 01 Step 043 Default Step Loss 0.334353, Argument Step Loss 2.021959, Term: 0.978261, Prog: 0.608696, A0: 0.378378, A1: 0.675676, A2: 1.0
Epoch 01 Step 044 Default Step Loss 0.244016, Argument Step Loss 1.985801, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
Epoch 01 Step 045 Default Step Loss 0.282506, Argument Step Loss 2.001886, Term: 0.973684, Prog: 0.631579, A0: 0.354839, A1: 0.709677, A2: 1.0
Epoch 01 Step 046 Default Step Loss 0.280471, Argument Step Loss 1.985790, Term: 0.973684, Prog: 0.631579, A0: 0.387097, A1: 0.709677, A2: 1.0
Epoch 01 Step 047 Default Step Loss 0.202712, Argument Step Loss 1.866412, Term: 0.966667, Prog: 0.666667, A0: 0.400000, A1: 0.800000, A2: 1.0
Epoch 01 Step 048 Default Step Loss 0.245651, Argument Step Loss 1.888736, Term: 0.970588, Prog: 0.647059, A0: 0.535714, A1: 0.785714, A2: 1.0
Epoch 01 Step 049 Default Step Loss 0.277457, Argument Step Loss 2.020698, Term: 0.973684, Prog: 0.631579, A0: 0.451613, A1: 0.741935, A2: 1.0
Epoch 01 Step 050 Default Step Loss 0.240186, Argument Step Loss 1.944536, Term: 0.970588, Prog: 0.647059, A0: 0.392857, A1: 0.750000, A2: 1.0
